audited_outcome,test_prompt,reason,dataset,examples,repo_name,verdict,case_score,evidence_strength,evidence,result_file,row_index,property_index
,Training dataloader shuffles or training dataset is shuffled for training; val/test do not shuffle.,"The repository FAILS the test case. The test case requires that the training dataloader shuffles (or training dataset is shuffled) while val/test do NOT shuffle. The code correctly sets `shuffle=True` for the training DataLoader (`data_loader_train = torch.utils.data.DataLoader(train, batch_size=32, shuffle=True)`). However, the validation DataLoader ALSO has `shuffle=True` (`data_loader_val = torch.utils.data.DataLoader(val, batch_size=32, shuffle=True)`), which directly violates the requirement that the validation set should NOT be shuffled.",titanic,0,aakash143rathee,FAIL,0.95,0.95,"[/kaggle/repo/exercise-2-classification/exercise-2-classification.ipynb:68-69] - The notebook cell shows the data loader creation: `data_loader_train = torch.utils.data.DataLoader(train, batch_size=32, shuffle=True)` and `data_loader_val = torch.utils.data.DataLoader(val, batch_size=32, shuffle=True)`. Both have `shuffle=True`, violating the requirement that val should not shuffle.",results\kaggle_titanic_AT-Qwen-Qwen3.6-35B-A3B-FP8-static_examples0.jsonl,0,11
,Randomizing the labels results in accuracy dropping to be near a random guessing baseline (may not be 0.5 if the data is imbalanced) on a validation set.,"The test case requires that the codebase includes a label-randomization sanity check demonstrating that when labels are randomized, model accuracy drops to near random guessing baseline. The notebook at /kaggle/repo/titanic-survivor-prediction-model/titanic-survivor-prediction-model.ipynb contains a logistic regression model for Titanic survivor prediction that trains for 100 epochs and reports validation accuracy, but it contains NO code that performs label randomization. There is no section that shuffles/randomizes the 'Survived' labels, trains on those randomized labels, and demonstrates that accuracy drops to the random guessing baseline. The 'shuffle=True' in the DataLoader (Cell 15) refers to batch shuffling during training, not label randomization. The 'random_state=75' in train_test_split (Cell 12) refers to the data split seed, not label randomization. The absence of this fundamental sanity check means the repository FAILs the test.",titanic,0,adrianahmetspahic,FAIL,0.95,0.95,"[/kaggle/repo/titanic-survivor-prediction-model/titanic-survivor-prediction-model.ipynb:1-24] - Full notebook examination shows no label randomization code. All 24 code cells were reviewed. Cell 12 uses random_state=75 for train_test_split (not label randomization). Cell 15 uses shuffle=True for DataLoader batch shuffling (not label randomization). No cell contains np.random, torch permutation, or any code that shuffles the 'Survived' target variable or trains on randomized labels.",results\kaggle_titanic_AT-Qwen-Qwen3.6-35B-A3B-FP8-static_examples0.jsonl,1,7
,"Reported metrics use the correct split(s) and the exact definitions claimed (e.g., micro vs macro, top-k).","The repository contains a clear bug in the metric definition for ROC-AUC. In the `predict_custom` function (cell 77), `roc_auc_score(y_test, predictions)` is called with hard class predictions from `classifier.predict(x_test)` instead of probability scores from `classifier.predict_proba(x_test)[:, 1]`. ROC-AUC requires continuous scores/probabilities to compute the area under the ROC curve across all possible thresholds. With hard predictions, only a single operating point exists, making the reported ROC-AUC value degenerate (only takes values 0.5, 0.0, or 1.0) and not a valid ROC-AUC metric. While other metrics (f1, precision, recall, accuracy) use correct defaults for binary classification (Titanic dataset) and data splits (train_test_split with test_size=0.10 and 5-fold CV) are reasonable, the incorrect ROC-AUC definition is a direct violation of the test requirement that ""reported metrics use... the exact definitions claimed.""",titanic,0,alaapdhall,FAIL,0.85,0.85,"[/kaggle/repo/most-comprehensive-guide-to-a-ds-framework/most-comprehensive-guide-to-a-ds-framework.ipynb:cell 77] - The `predict_custom` function on line 77 shows: `predictions = classifier.predict(x_test)` followed by `roc_auc = roc_auc_score(y_test, predictions)` — passing hard predictions instead of probability scores. [/kaggle/repo/most-comprehensive-guide-to-a-ds-framework/most-comprehensive-guide-to-a-ds-framework.ipynb:cell 70] - Data split is defined as `X_train, X_test, y_train, y_test = train_test_split(X_final, target, test_size=0.10)`. [/kaggle/repo/most-comprehensive-guide-to-a-ds-framework/most-comprehensive-guide-to-a-ds-framework.ipynb:cell 83] - Cross-validation scores are reported with `cross_val_score(log_reg, X_final, target, cv=5)`.",results\kaggle_titanic_AT-Qwen-Qwen3.6-35B-A3B-FP8-static_examples0.jsonl,2,6
,Training dataloader shuffles or training dataset is shuffled for training; val/test do not shuffle.,"The repository contains a neural net training notebook that does NOT shuffle the training dataset and does NOT use a DataLoader. The training loop uses full-batch gradient descent without any shuffling mechanism. Specifically: (1) No DataLoader is used anywhere in the code - the entire training dataset is loaded into tensors and used directly. (2) The training loop in `one_epoch()` and `train_model()` computes loss over the entire training set at once (`loss = calc_loss(coeffs, trn_indep, trn_dep)`) without any per-epoch or per-batch shuffling. (3) `RandomSplitter(seed=42)` is used to split data into train/validation sets by selecting random indices, but the training data is used in the fixed order of those indices across all epochs - there is no reshuffling within the training loop. (4) The validation set correctly does not shuffle (used in order via `val_split`), but the first condition of the property - that the training dataset or dataloader shuffles - is not satisfied.",titanic,0,banyarsawthit,FAIL,0.9,0.85,"- [/kaggle/repo/fastai-lesson-5-linear-model-and-neural-net/fastai-lesson-5-linear-model-and-neural-net.ipynb:72] - RandomSplitter used for train/val split: `from fastai.data.transforms import RandomSplitter; trn_split, val_split = RandomSplitter(seed=42)(df)`
- [/kaggle/repo/fastai-lesson-5-linear-model-and-neural-net/fastai-lesson-5-linear-model-and-neural-net.ipynb:77] - Training data selected by fixed indices: `trn_indep = t_indep[trn_split]; trn_dep = t_dep[trn_split]` and validation data: `val_indep = t_indep[val_split]; val_dep = t_dep[val_split]`
- [/kaggle/repo/fastai-lesson-5-linear-model-and-neural-net/fastai-lesson-5-linear-model-and-neural-net.ipynb:80-84] - Training loop uses full-batch gradient descent with no shuffling: `def one_epoch(coeffs, lr): loss = calc_loss(coeffs, trn_indep, trn_dep); ...` and `def train_model(epochs=30, lr=0.01): for i in range(epochs): one_epoch(coeffs, lr=lr)`
- [/kaggle/repo/fastai-lesson-5-linear-model-and-neural-net/fastai-lesson-5-linear-model-and-neural-net.ipynb:55] - Loss function definition: `def calc_loss(coeffs, indeps, deps): return torch.abs(calc_preds(coeffs, indeps)-deps).mean()` - computes mean over entire dataset at once
- No evidence of DataLoader, shuffle, randperm, or any shuffling mechanism was found in the entire notebook",results\kaggle_titanic_AT-Qwen-Qwen3.6-35B-A3B-FP8-static_examples0.jsonl,6,11
,"Data is loaded and preprocessed correctly (e.g., no all-black images, no text with weird or unexpected characters, tables look correct and feature values are reasonable).","The data loading and preprocessing in the notebook contains a clear, verifiable bug. In both the myDataset class (Cell 40, line 50) and myDataset_test class (Cell 41, line 48), the age banding code for the last bin is incomplete: `self.df.loc[ self.df['Age'] > 64, 'Age']` is a read-only selection that does NOT assign a value (missing `= 4`). This means passengers with Age > 64 retain their original unbinned integer ages instead of being assigned the expected band value of 4. This causes feature values to fall outside the expected range (0-4), directly violating the property that ""feature values are reasonable."" Additionally, the Fare feature is binned at 200 and 300, which is extremely aggressive for the Titanic dataset where the median fare is ~14.4 and mean is ~32.2, resulting in nearly all passengers having Fare = 0 — not reasonable feature engineering.",titanic,0,ddxclbri,FAIL,0.85,0.9,"[/kaggle/repo/notebook-titanic-nn-randomforest/notebook-titanic-nn-randomforest.ipynb:2795-2842] (Cell 40, myDataset class — line 50: `self.df.loc[ self.df['Age'] > 64, 'Age']` without assignment), [/kaggle/repo/notebook-titanic-nn-randomforest/notebook-titanic-nn-randomforest.ipynb:3020-3065] (Cell 41, myDataset_test class — line 48: same missing assignment for age > 64 bin), [/kaggle/repo/notebook-titanic-nn-randomforest/notebook-titanic-nn-randomforest.ipynb:2765-2770] (Cell 40, lines 65-68: Fare binning at 200/300 which is unreasonably high for Titanic data).",results\kaggle_titanic_AT-Qwen-Qwen3.6-35B-A3B-FP8-static_examples0.jsonl,9,2
,"Code does not use explicit loops or Python control flow when matrix operations could have been used to implement the exact same operation more efficiently. If this property is not satisfied, show the matrix operations which should replace the raw Python logic.","The `predict()` function in Cell 14 of the notebook uses an explicit Python `for` loop (`for i in range(len(weights))`) and conditional control flow (`if i == len(weights) - 1: sigmoid else: relu`) to iterate through weight matrices and apply layer-specific activation functions. For a known 2-layer network architecture, this loop can be entirely replaced with explicit, vectorized matrix operations: `h = torch.relu(input @ layer1); output = torch.sigmoid(h @ layer2)`. This more efficient pattern is already demonstrated in Cell 13 without any loop. The `predict()` function is actively called in Cells 16 and 20. Note: The training loop in Cell 12 (`for i in range(100)`) is a standard SGD iteration loop that cannot be replaced by matrix operations and does not violate the property.",titanic,0,ericihli,FAIL,0.75,0.8,"[/kaggle/repo/titanic-nn-from-scratch/titanic-nn-from-scratch.ipynb:cell14] Contains the `predict()` function with the `for` loop iterating through layers and `if/else` control flow for activation selection. [/kaggle/repo/titanic-nn-from-scratch/titanic-nn-from-scratch.ipynb:cell13] Shows the same 2-layer forward pass implemented directly with vectorized matrix operations and no loop. [/kaggle/repo/titanic-nn-from-scratch/titanic-nn-from-scratch.ipynb:cell16] Shows `predict(test, [layer1, layer2])` being called, confirming the loop-based function is used. [/kaggle/repo/titanic-nn-from-scratch/titanic-nn-from-scratch.ipynb:cell20] Shows another call to `predict(xs, [layer1, layer2])`. [/evidence/artifacts/analysis.md] Contains the full detailed analysis of findings.",results\kaggle_titanic_AT-Qwen-Qwen3.6-35B-A3B-FP8-static_examples0.jsonl,13,15
,"Code does not use explicit loops or Python control flow when matrix operations could have been used to implement the exact same operation more efficiently. If this property is not satisfied, show the matrix operations which should replace the raw Python logic.","The code uses a pandas `.apply()` with a lambda function (line 33 in Cell 1 of the notebook) to categorize Title values: `df['Title'] = df['Title'].apply(lambda x: x if x in common_titles else 'Other')`. This is an element-by-element Python-level loop over a pandas Series, which can be replaced with a vectorized numpy operation: `np.where(df['Title'].isin(common_titles), df['Title'], 'Other')` or `df['Title'].where(df['Title'].isin(common_titles), 'Other')`. Both alternatives perform the same operation using array-based (matrix) operations instead of Python-level iteration, making them more efficient. The training loops (epoch loop and batch iteration loops) were evaluated but are not violations — they implement the SGD training paradigm and cannot be replaced with matrix operations.",titanic,0,etyalarahul,FAIL,0.72,0.8,[/kaggle/repo/notebooke14767725d/notebooke14767725d.ipynb:cell1-line33] The pandas `.apply(lambda x: x if x in common_titles else 'Other')` call on a Series that can be replaced with vectorized `np.where()` or `pd.Series.where()` operations. [/evidence/artifacts/analysis.md] Comprehensive analysis documenting all loops found and classifying them as violations or non-violations.,results\kaggle_titanic_AT-Qwen-Qwen3.6-35B-A3B-FP8-static_examples0.jsonl,15,15
,"Reported metrics use the correct split(s) and the exact definitions claimed (e.g., micro vs macro, top-k).","The notebook reports accuracy as a metric (Cell 17) but does not use a correct data split. The entire dataset from train.csv is loaded (Cell 2), used to train the neural network via SGD over 100 iterations (Cell 15), and then the same data is used to compute accuracy (Cell 17). There is no train/test/validation split anywhere in the notebook — no train_test_split, no separate test.csv loading, and no held-out evaluation set. The reported accuracy is computed on training data (in-sample), which inflates the metric and does not represent generalization performance. The test case requires that reported metrics use the correct split(s), and this notebook fails to implement any proper split for evaluation.",titanic,0,keshavmalhotra10,FAIL,0.85,0.85,"[/kaggle/repo/titaniccomp/titaniccomp.ipynb:2] (loads only train.csv with no test split), [/kaggle/repo/titaniccomp/titaniccomp.ipynb:15] (trains model on full data via SGD, no split), [/kaggle/repo/titaniccomp/titaniccomp.ipynb:17] (computes accuracy on same training data with no separate evaluation set)",results\kaggle_titanic_AT-Qwen-Qwen3.6-35B-A3B-FP8-static_examples0.jsonl,22,6
,Training dataloader shuffles or training dataset is shuffled for training; val/test do not shuffle.,"The repository contains a single notebook (titaniccomp.ipynb) that implements a basic neural network for Titanic survival prediction. The code has NO dataloader, NO dataset splitting (train/val/test), and NO shuffling mechanism whatsoever. The entire dataset is loaded as raw tensors and passed directly through the model in a simple gradient descent loop. The property requires that training data be shuffled (or that a training dataloader with shuffle=True be used) while val/test data do not shuffle. Since the code: (1) never creates a DataLoader or Dataset, (2) never performs any train/val/test split, and (3) never shuffles data, it definitively FAILS the property. The training data is processed in its original CSV file order with no randomization.",titanic,0,keshavmalhotra10,FAIL,0.95,0.95,"[/kaggle/repo/titaniccomp/titaniccomp.ipynb:1-17] The notebook source code shows: (1) No import of torch.utils.data or DataLoader (Cell 0); (2) Data loaded via pd.read_csv without any shuffling or splitting (Cell 2); (3) No train/val/test split — all data used as single tensors x and y (Cells 2-8); (4) Training loop uses entire dataset directly without any batching or shuffling (Cell 15); (5) Final evaluation on entire dataset, no test set (Cell 17). A grep for 'shuffle', 'dataloader', 'split', 'random', 'sampler', 'batch' returned zero matches confirming no shuffling or dataloader infrastructure exists.",results\kaggle_titanic_AT-Qwen-Qwen3.6-35B-A3B-FP8-static_examples0.jsonl,22,11
,Randomizing the labels results in accuracy dropping to be near a random guessing baseline (may not be 0.5 if the data is imbalanced) on a validation set.,"The test case requires that randomizing the labels results in accuracy dropping to near a random guessing baseline on a validation set. This is a standard sanity check in machine learning that verifies a model is not memorizing spurious correlations. The notebook contains code to load data, split into train/validation sets, train a linear model and neural net, and evaluate accuracy on the validation set. However, there is absolutely no code in the entire notebook (or any other file in the repository) that: (1) randomizes or shuffles the labels, (2) trains a model on randomized labels, or (3) demonstrates that accuracy drops to random guessing when labels are randomized. The only random operations are for initial weight initialization and dataset splitting, not for label randomization. Since the property explicitly requires a test/demonstration of accuracy degradation with randomized labels, and this code is entirely absent from the repository, the test FAILs.",titanic,0,oliverrule,FAIL,0.85,0.9,"[/kaggle/repo/fastai-lesson-5-linear-model-and-neural-net/fastai-lesson-5-linear-model-and-neural-net.ipynb:72] - RandomSplitter used for train/validation split, but labels are not randomized. [/kaggle/repo/fastai-lesson-5-linear-model-and-neural-net/fastai-lesson-5-linear-model-and-neural-net.ipynb:83] - train_model function trains on original labels only, never on randomized ones. [/kaggle/repo/fastai-lesson-5-linear-model-and-neural-net/fastai-lesson-5-linear-model-and-neural-net.ipynb:96] - acc function evaluates accuracy on validation set with original labels only. [/kaggle/repo/fastai-lesson-5-linear-model-and-neural-net/fastai-lesson-5-linear-model-and-neural-net.ipynb:34] - t_dep = tensor(df.Survived) uses original labels throughout. No code exists anywhere in the repository that shuffles, permutes, or randomizes the target labels (Survived column).",results\kaggle_titanic_AT-Qwen-Qwen3.6-35B-A3B-FP8-static_examples0.jsonl,26,7
