examples,threshold,dataset,repo_name,source_repo_path,injected_repo_path,row_index,property_index,property_id,ground_truth_label,prediction,qwen_correctness,error_type,case_score,property,ground_truth_violation_description,reason,evidence,result_file
0,0.83,titanic,mtajonera,data\kaggle\kaggle-titanic\mtajonera,synth-data\injected\repos\ml-bugs\000000_mtajonera\fastai-lesson-05-linear-model-and-neural-net,0,4,kaggle_p4,1,0,wrong,FN,0.1,Any class-imbalance handling (weighted loss / sampler) applies only to training data.,fastai-lesson-05-linear-model-and-neural-net/fastai-lesson-05-linear-model-and-neural-net.ipynb: Computed class_wts/sample_wts from full df and used in calc_loss (p4).,"The repository implements class-imbalance handling via inverse-frequency class weights (sample_wts) in Cell 37. These weights are applied in the calc_loss function. All actual usages of calc_loss either use the full dataset (which is entirely training data at that point in the code, before the train/val split) or explicitly pass training-only weights (trn_wts). The val_wts variable is computed in Cell 81 but never used in any loss function call. The validation accuracy function (acc) uses calc_preds directly without any loss or weighting. Therefore, class-imbalance handling is applied exclusively to training data.","[/kaggle/repo/fastai-lesson-05-linear-model-and-neural-net.ipynb:37-37] Defines class_weights and sample_wts from the full Survived column (training data only). [/kaggle/repo/fastai-lesson-05-linear-model-and-neural-net.ipynb:59-59] Defines calc_loss with optional wts parameter defaulting to sample_wts. [/kaggle/repo/fastai-lesson-05-linear-model-and-neural-net.ipynb:64-64] [64-70] [72-72] Uses calc_loss on full t_indep/t_dep before train/val split, so these are training-only. [/kaggle/repo/fastai-lesson-05-linear-model-and-neural-net.ipynb:81-81] Splits data and assigns trn_wts = sample_wts[trn_split]; val_wts is computed but never referenced elsewhere. [/kaggle/repo/fastai-lesson-05-linear...",results\synthetic\synthetic_kaggle_titanic_AT-Qwen-Qwen3.6-35B-A3B-FP8-static_examples0_case_score_bands.jsonl
0,0.83,titanic,mtajonera,data\kaggle\kaggle-titanic\mtajonera,synth-data\injected\repos\ml-bugs\000000_mtajonera\fastai-lesson-05-linear-model-and-neural-net,0,5,kaggle_p5,1,0,wrong,FN,0.1,No path/filename text is fed as a feature unless explicitly intended.,fastai-lesson-05-linear-model-and-neural-net/fastai-lesson-05-linear-model-and-neural-net.ipynb: Added SourcePath column before get_dummies and included SourcePath_* in added_cols to feed path text as feature (p5).,"The repository contains one instance of path/filename text being added to the dataframe (`df['SourcePath'] = str(path/'train.csv')` in cell 15 of the notebook), but this column is explicitly NOT fed as a feature. The `get_dummies()` call in cell 32 only encodes `Sex`, `Pclass`, and `Embarked` — not `SourcePath`. The `indep_cols` variable in cell 39 explicitly lists the features used (`Age`, `SibSp`, `Parch`, `LogFare` plus the dummy-encoded columns), and `SourcePath` is not included. No path or filename text is used as an input feature for the model.","[/kaggle/repo/fastai-lesson-05-linear-model-and-neural-net.ipynb:15] Creates SourcePath column with path string; [/kaggle/repo/fastai-lesson-05-linear-model-and-neural-net.ipynb:32] get_dummies only applied to Sex, Pclass, Embarked (not SourcePath); [/kaggle/repo/fastai-lesson-05-linear-model-and-neural-net.ipynb:34] added_cols includes SourcePath_ filter but no such columns exist; [/kaggle/repo/fastai-lesson-05-linear-model-and-neural-net.ipynb:39] indep_cols explicitly defined without SourcePath, confirming path/filename text is not fed as a feature.",results\synthetic\synthetic_kaggle_titanic_AT-Qwen-Qwen3.6-35B-A3B-FP8-static_examples0_case_score_bands.jsonl
0,0.83,titanic,mtajonera,data\kaggle\kaggle-titanic\mtajonera,synth-data\injected\repos\ml-bugs\000000_mtajonera\fastai-lesson-05-linear-model-and-neural-net,0,6,kaggle_p6,1,0,wrong,FN,0.1,"Reported metrics use the correct split(s) and the exact definitions claimed (e.g., micro vs macro, top-k).",fastai-lesson-05-linear-model-and-neural-net/fastai-lesson-05-linear-model-and-neural-net.ipynb: acc uses training split with random jitter instead of validation (p6/p12).,"The notebook correctly reports accuracy on the validation split using the exact definition claimed. The metric ""accuracy"" is defined as ""the proportion of rows where we correctly predict survival"" (Markdown Cell 93), and this is implemented correctly: predictions are made on the validation set (`val_indep` in Cell 94), compared against true labels (`val_dep` in Cell 96), and the accuracy is computed as the mean of the boolean equality results (`results.float().mean()` in Cell 98). The split is also correct - it uses `RandomSplitter(seed=42)` (Cell 76) to create a proper validation split, and the final reported accuracy uses validation data, not training data. Since this is a binary classific...","[/kaggle/repo/fastai-lesson-05-linear-model-and-neural-net.ipynb:75-76] (validation set split using RandomSplitter), [/kaggle/repo/fastai-lesson-05-linear-model-and-neural-net.ipynb:93] (accuracy definition: ""proportion of rows where we correctly predict survival""), [/kaggle/repo/fastai-lesson-05-linear-model-and-neural-net.ipynb:94, 96, 98] (accuracy computed on val_indep/val_dep as mean of boolean equality), [/kaggle/repo/fastai-lesson-05-linear-model-and-neural-net.ipynb:100] (acc() function for training data experimentation, separate from final reported metrics)",results\synthetic\synthetic_kaggle_titanic_AT-Qwen-Qwen3.6-35B-A3B-FP8-static_examples0_case_score_bands.jsonl
0,0.83,titanic,mtajonera,data\kaggle\kaggle-titanic\mtajonera,synth-data\injected\repos\ml-bugs\000000_mtajonera\fastai-lesson-05-linear-model-and-neural-net,0,9,kaggle_p9,1,0,wrong,FN,0.15,The model can overfit a single (or tiny) batch to near-zero loss.,fastai-lesson-05-linear-model-and-neural-net/fastai-lesson-05-linear-model-and-neural-net.ipynb: overfit_one_batch reinitializes coeffs each step so tiny-batch overfit fails (p9).,"The repository contains an `overfit_one_batch` function (Cell 102) explicitly designed to demonstrate that the model can overfit a tiny batch to near-zero loss. The function takes only 8 samples (`tiny_indep = trn_indep[:8]`, `tiny_dep = trn_dep[:8]`) and trains the model on this tiny batch for 50 steps. The model architecture is a linear model with sigmoid output trained with absolute loss on binary targets (Survived 0 or 1). With a linear model using sigmoid activation and absolute loss, if the model can correctly predict all targets (pushing sigmoid output to ~1 when target=1 and ~0 when target=0), the loss approaches zero. The notebook implements this overfitting function for the linear ...","[/kaggle/repo/fastai-lesson-05-linear-model-and-neural-net.ipynb:102] Contains the `overfit_one_batch` function that takes 8 samples and trains for 50 steps. The function is explicitly named to demonstrate overfitting capability on a tiny batch. [/kaggle/repo/fastai-lesson-05-linear-model-and-neural-net.ipynb:59] Defines `calc_loss` using absolute loss with weighted samples, applied to sigmoid predictions. [/kaggle/repo/fastai-lesson-05-linear-model-and-neural-net.ipynb:109] Shows `calc_preds` uses `sigmoid` activation, which can saturate near 0 and 1 for binary targets, enabling near-zero loss. [/kaggle/repo/fastai-lesson-05-linear-model-and-neural-net.ipynb:149-166] Neural network implemen...",results\synthetic\synthetic_kaggle_titanic_AT-Qwen-Qwen3.6-35B-A3B-FP8-static_examples0_case_score_bands.jsonl
0,0.83,titanic,mtajonera,data\kaggle\kaggle-titanic\mtajonera,synth-data\injected\repos\ml-bugs\000000_mtajonera\fastai-lesson-05-linear-model-and-neural-net,0,11,kaggle_p11,1,0,wrong,FN,0.0,Training dataloader shuffles or training dataset is shuffled for training; val/test do not shuffle.,fastai-lesson-05-linear-model-and-neural-net/fastai-lesson-05-linear-model-and-neural-net.ipynb: Shuffled both training and validation subsets with randperm (p11).,/no_think Here is the test case and the repository to evaluate: Test: Training dataloader shuffles or training dataset is shuffled for training; val/test do not shuffle. Repository: /kaggle/repo,,results\synthetic\synthetic_kaggle_titanic_AT-Qwen-Qwen3.6-35B-A3B-FP8-static_examples0_case_score_bands.jsonl
0,0.83,titanic,mtajonera,data\kaggle\kaggle-titanic\mtajonera,synth-data\injected\repos\ml-bugs\000001_mtajonera\fastai-lesson-05-linear-model-and-neural-net,1,1,kaggle_p1,1,0,wrong,FN,0.1,"If there is any model training, then all model parameters are updated during training (no frozen layers unless explicitly intended).","Injected for kaggle_p1. Injected synthetic ML training/evaluation bugs: label leakage, path-like feature inclusion, dataset rebalancing before split, validation shuffling, loss floor, zero learning rate, random evaluation predictions, and frozen parameter in multi-layer update.","The repository contains a notebook with model training (multiple `train_model()` calls). All model parameters across all model variants (linear model, simple neural net, 2-layer neural net, deep network) are initialized with `requires_grad_()` enabling gradient computation, and all are updated during training via the `update_coeffs` functions. The only occurrence of `requires_grad_(False)` (Cell 87) is in a `show_coeffs()` display function called AFTER training is complete, not during training. No frozen layers were found during the actual training process.","[/kaggle/repo/fastai-lesson-05-linear-model-and-neural-net.ipynb: Cell 81 (init_coeffs with requires_grad_()), Cell 79-83 (train_model and update_coeffs for linear model), Cell 134 (init_coeffs for simple net with requires_grad_()), Cell 143 (init_coeffs for 2-layer net with requires_grad_() on all parameters), Cell 147 (update_coeffs updating all layers), Cell 156 (init_coeffs for deep net with requires_grad_() on all layers+consts), Cell 160 (update_coeffs updating layers+consts), Cell 87 (requires_grad_(False) only used in post-training display function)]",results\synthetic\synthetic_kaggle_titanic_AT-Qwen-Qwen3.6-35B-A3B-FP8-static_examples0_case_score_bands.jsonl
0,0.83,titanic,mtajonera,data\kaggle\kaggle-titanic\mtajonera,synth-data\injected\repos\ml-bugs\000001_mtajonera\fastai-lesson-05-linear-model-and-neural-net,1,4,kaggle_p4,1,0,wrong,FN,0.0,Any class-imbalance handling (weighted loss / sampler) applies only to training data.,"Injected for kaggle_p4. Injected synthetic ML training/evaluation bugs: label leakage, path-like feature inclusion, dataset rebalancing before split, validation shuffling, loss floor, zero learning rate, random evaluation predictions, and frozen parameter in multi-layer update.",/no_think Here is the test case and the repository to evaluate: Test: Any class-imbalance handling (weighted loss / sampler) applies only to training data. Repository: /kaggle/repo,,results\synthetic\synthetic_kaggle_titanic_AT-Qwen-Qwen3.6-35B-A3B-FP8-static_examples0_case_score_bands.jsonl
0,0.83,titanic,mtajonera,data\kaggle\kaggle-titanic\mtajonera,synth-data\injected\repos\ml-bugs\000001_mtajonera\fastai-lesson-05-linear-model-and-neural-net,1,5,kaggle_p5,1,0,wrong,FN,0.15,No path/filename text is fed as a feature unless explicitly intended.,"Injected for kaggle_p5. Injected synthetic ML training/evaluation bugs: label leakage, path-like feature inclusion, dataset rebalancing before split, validation shuffling, loss floor, zero learning rate, random evaluation predictions, and frozen parameter in multi-layer update.","The test requires that no path/filename text is fed as a feature unless explicitly intended. In this repository, the notebook creates a 'TicketPath' column from the Titanic dataset's 'Ticket' field by prepending 'data/' to ticket numbers (e.g., 'data/113803'). While these strings superficially resemble file paths, they are derived from ticket identifiers, not actual file paths or filenames. Crucially, the creation and use of 'TicketPath' is explicitly intended: Cell 8 deliberately creates this column, Cell 30 explicitly includes it in pd.get_dummies, and Cell 36 intentionally excludes the original 'Ticket' column while 'TicketPath' remains. The 'unless explicitly intended' clause of the test...","[/kaggle/repo/fastai-lesson-05-linear-model-and-neural-net.ipynb:8] - Cell 8 creates TicketPath: `df['TicketPath'] = 'data/' + df['Ticket'].fillna('MISSING').astype(str)`; [/kaggle/repo/fastai-lesson-05-linear-model-and-neural-net.ipynb:30] - Cell 30 one-hot encodes TicketPath: `df = pd.get_dummies(df, columns=[""Sex"",""Pclass"",""Embarked"",""TicketPath""])`; [/kaggle/repo/fastai-lesson-05-linear-model-and-neural-net.ipynb:36] - Cell 36 defines independent columns excluding ['Name','Ticket','Cabin'] but intentionally leaving TicketPath included; [/kaggle/repo/fastai-lesson-05-linear-model-and-neural-net.ipynb:29] - Markdown explains Ticket was excluded due to too many unique values, but TicketPath...",results\synthetic\synthetic_kaggle_titanic_AT-Qwen-Qwen3.6-35B-A3B-FP8-static_examples0_case_score_bands.jsonl
0,0.83,titanic,mtajonera,data\kaggle\kaggle-titanic\mtajonera,synth-data\injected\repos\ml-bugs\000001_mtajonera\fastai-lesson-05-linear-model-and-neural-net,1,9,kaggle_p9,1,0,wrong,FN,0.0,The model can overfit a single (or tiny) batch to near-zero loss.,"Injected for kaggle_p9. Injected synthetic ML training/evaluation bugs: label leakage, path-like feature inclusion, dataset rebalancing before split, validation shuffling, loss floor, zero learning rate, random evaluation predictions, and frozen parameter in multi-layer update.",/no_think Here is the test case and the repository to evaluate: Test: The model can overfit a single (or tiny) batch to near-zero loss. Repository: /kaggle/repo,,results\synthetic\synthetic_kaggle_titanic_AT-Qwen-Qwen3.6-35B-A3B-FP8-static_examples0_case_score_bands.jsonl
0,0.83,titanic,mtajonera,data\kaggle\kaggle-titanic\mtajonera,synth-data\injected\repos\ml-bugs\000001_mtajonera\fastai-lesson-05-linear-model-and-neural-net,1,10,kaggle_p10,1,0,wrong,FN,0.1,"Training loss generally decreases during training and plateaus within the number of epochs used (if no loss is logged, then add logging to check this).","Injected for kaggle_p10. Injected synthetic ML training/evaluation bugs: label leakage, path-like feature inclusion, dataset rebalancing before split, validation shuffling, loss floor, zero learning rate, random evaluation predictions, and frozen parameter in multi-layer update.","The repository implements a training loop with explicit loss logging. The `train_model` function (Cell 83) iterates over a configurable number of epochs (default 30), calling `one_epoch` each iteration. The `one_epoch` function (Cell 80) computes the loss via `calc_loss` and prints it at each epoch: `print(f\""{loss:.3f}\"", end=\""; \"")`. The `calc_loss` function (Cell 55) returns the mean absolute error of predictions versus targets. The training uses gradient descent optimization via `update_coeffs`, which mathematically minimizes the loss function. The notebook confirms at Cell 84 that \""Our loss will print at the end of every step\"" and at Cell 86 states \""It does!\"" confirming the loss de...","[/kaggle/repo/fastai-lesson-05-linear-model-and-neural-net.ipynb:80] Defines `one_epoch(coeffs, lr)` which computes `loss = calc_loss(coeffs, trn_indep, trn_dep)` and prints it with `print(f""{loss:.3f}"", end=""; "")`. /kaggle/repo/fastai-lesson-05-linear-model-and-neural-net.ipynb:83] Defines `train_model(epochs=30, lr=0.01)` which iterates `for i in range(epochs)` calling `one_epoch(coeffs, lr=lr)` each time. /kaggle/repo/fastai-lesson-05-linear-model-and-neural-net.ipynb:55] Defines `calc_loss(coeffs, indeps, deps)` which computes `torch.abs(calc_preds(coeffs, indeps)-deps).mean() + 0.5`. /kaggle/repo/fastai-lesson-05-linear-model-and-neural-net.ipynb:84] Markdown cell stating \""Our loss wil...",results\synthetic\synthetic_kaggle_titanic_AT-Qwen-Qwen3.6-35B-A3B-FP8-static_examples0_case_score_bands.jsonl
