audited_outcome,test_prompt,reason,dataset,examples,repo_name,verdict,case_score,evidence_strength,evidence,result_file,row_index,property_index
,Training dataloader shuffles or training dataset is shuffled for training; val/test do not shuffle.,"The repository FAILS the test case. The test case requires that the training dataloader shuffles (or training dataset is shuffled) while val/test do NOT shuffle. The code correctly sets `shuffle=True` for the training DataLoader (`data_loader_train = torch.utils.data.DataLoader(train, batch_size=32, shuffle=True)`). However, the validation DataLoader ALSO has `shuffle=True` (`data_loader_val = torch.utils.data.DataLoader(val, batch_size=32, shuffle=True)`), which directly violates the requirement that the validation set should NOT be shuffled.",titanic,0,aakash143rathee,FAIL,0.95,0.95,"[/kaggle/repo/exercise-2-classification/exercise-2-classification.ipynb:68-69] - The notebook cell shows the data loader creation: `data_loader_train = torch.utils.data.DataLoader(train, batch_size=32, shuffle=True)` and `data_loader_val = torch.utils.data.DataLoader(val, batch_size=32, shuffle=True)`. Both have `shuffle=True`, violating the requirement that val should not shuffle.",results\kaggle_titanic_AT-Qwen-Qwen3.6-35B-A3B-FP8-static_examples0.jsonl,0,11
,"Code does not use explicit loops or Python control flow when matrix operations could have been used to implement the exact same operation more efficiently. If this property is not satisfied, show the matrix operations which should replace the raw Python logic.","The repository contains explicit Python loops in CODE CELL 21 of the notebook that iterate over test samples one at a time when the neural network could process all samples simultaneously as a batch (matrix operation). Specifically, the loop `for i, data in enumerate(titanic_data_tensor): output = net(data)` processes each row of the tensor individually, calling `net()` on single samples and accumulating results with `torch.cat`. This is inefficient because the model's `forward` method accepts batched inputs and the `titanic_data_tensor` is a 2D tensor containing all samples. The loop can be replaced with a single matrix operation: `all_output = net(titanic_data_tensor)` followed by `test_pred = torch.argmax(all_output, dim=1)`.",titanic,0,aakash143rathee,FAIL,0.9,0.9,"[/kaggle/repo/exercise-2-classification/exercise-2-classification.ipynb:CODE CELL 21 - Test prediction loop], [/evidence/artifacts/analysis.md]

The problematic code at CODE CELL 21:
```python
test_pred = torch.LongTensor()
for i, data in enumerate(titanic_data_tensor):
    output = net(data)
    predicted = torch.ge(output, 0.5)
    test_pred = torch.cat((test_pred, torch.tensor([output.argmax().item()]) ))
```

The matrix operation replacement would be:
```python
with torch.no_grad():
    net.eval()
    all_output = net(titanic_data_tensor)
    test_pred = torch.argmax(all_output, dim=1)
```

The LinearModel's forward method (`self.sig(self.ln(x))`) uses `nn.Linear` which natively supports batched matrix-matrix multiplication, so passing the entire 2D tensor at once would produce all predictions simultaneously.",results\kaggle_titanic_AT-Qwen-Qwen3.6-35B-A3B-FP8-static_examples0.jsonl,0,15
,Randomizing the labels results in accuracy dropping to be near a random guessing baseline (may not be 0.5 if the data is imbalanced) on a validation set.,"The test case requires that the codebase includes a label-randomization sanity check demonstrating that when labels are randomized, model accuracy drops to near random guessing baseline. The notebook at /kaggle/repo/titanic-survivor-prediction-model/titanic-survivor-prediction-model.ipynb contains a logistic regression model for Titanic survivor prediction that trains for 100 epochs and reports validation accuracy, but it contains NO code that performs label randomization. There is no section that shuffles/randomizes the 'Survived' labels, trains on those randomized labels, and demonstrates that accuracy drops to the random guessing baseline. The 'shuffle=True' in the DataLoader (Cell 15) refers to batch shuffling during training, not label randomization. The 'random_state=75' in train_test_split (Cell 12) refers to the data split seed, not label randomization. The absence of this fundamental sanity check means the repository FAILs the test.",titanic,0,adrianahmetspahic,FAIL,0.95,0.95,"[/kaggle/repo/titanic-survivor-prediction-model/titanic-survivor-prediction-model.ipynb:1-24] - Full notebook examination shows no label randomization code. All 24 code cells were reviewed. Cell 12 uses random_state=75 for train_test_split (not label randomization). Cell 15 uses shuffle=True for DataLoader batch shuffling (not label randomization). No cell contains np.random, torch permutation, or any code that shuffles the 'Survived' target variable or trains on randomized labels.",results\kaggle_titanic_AT-Qwen-Qwen3.6-35B-A3B-FP8-static_examples0.jsonl,1,7
,"Reported metrics use the correct split(s) and the exact definitions claimed (e.g., micro vs macro, top-k).","The repository contains a clear bug in the metric definition for ROC-AUC. In the `predict_custom` function (cell 77), `roc_auc_score(y_test, predictions)` is called with hard class predictions from `classifier.predict(x_test)` instead of probability scores from `classifier.predict_proba(x_test)[:, 1]`. ROC-AUC requires continuous scores/probabilities to compute the area under the ROC curve across all possible thresholds. With hard predictions, only a single operating point exists, making the reported ROC-AUC value degenerate (only takes values 0.5, 0.0, or 1.0) and not a valid ROC-AUC metric. While other metrics (f1, precision, recall, accuracy) use correct defaults for binary classification (Titanic dataset) and data splits (train_test_split with test_size=0.10 and 5-fold CV) are reasonable, the incorrect ROC-AUC definition is a direct violation of the test requirement that ""reported metrics use... the exact definitions claimed.""",titanic,0,alaapdhall,FAIL,0.85,0.85,"[/kaggle/repo/most-comprehensive-guide-to-a-ds-framework/most-comprehensive-guide-to-a-ds-framework.ipynb:cell 77] - The `predict_custom` function on line 77 shows: `predictions = classifier.predict(x_test)` followed by `roc_auc = roc_auc_score(y_test, predictions)` — passing hard predictions instead of probability scores. [/kaggle/repo/most-comprehensive-guide-to-a-ds-framework/most-comprehensive-guide-to-a-ds-framework.ipynb:cell 70] - Data split is defined as `X_train, X_test, y_train, y_test = train_test_split(X_final, target, test_size=0.10)`. [/kaggle/repo/most-comprehensive-guide-to-a-ds-framework/most-comprehensive-guide-to-a-ds-framework.ipynb:cell 83] - Cross-validation scores are reported with `cross_val_score(log_reg, X_final, target, cv=5)`.",results\kaggle_titanic_AT-Qwen-Qwen3.6-35B-A3B-FP8-static_examples0.jsonl,2,6
,Randomizing the labels results in accuracy dropping to be near a random guessing baseline (may not be 0.5 if the data is imbalanced) on a validation set.,"The test case requires that the repository demonstrate that randomizing labels results in accuracy dropping to near-random guessing baseline. After thoroughly examining the entire repository (a single Jupyter notebook), there is no code that performs label randomization, permutation, shuffling of the target variable, or testing accuracy on randomized/null labels. The notebook trains and evaluates standard classifiers (Logistic Regression, Decision Tree, Random Forest, XGBoost, etc.) on the actual Titanic survival labels with cross-validation and train/test splits. The `random` module is imported but only used for random column selection in Pearson correlation-based feature selection, not for any label randomization testing. The property cannot be evaluated as there is no implementation of the label-randomization test.",titanic,0,alaapdhall,FAIL,0.95,0.95,"[/kaggle/repo/most-comprehensive-guide-to-a-ds-framework/most-comprehensive-guide-to-a-ds-framework.ipynb:1-1] - The entire notebook contains 0 cells with label randomization code. Confirmed via systematic search for patterns including 'randomiz', 'shuffle', 'permute', 'noise', 'null', 'dummy', 'guessing', 'baseline', 'random.*label', 'label.*shuffle', 'np.random.permutation', 'random.shuffle', 'random_state'. The only use of randomness is `random.randint(0,1)` in Cell 35 for random column selection during correlation analysis.",results\kaggle_titanic_AT-Qwen-Qwen3.6-35B-A3B-FP8-static_examples0.jsonl,2,7
,"Training loss generally decreases during training and plateaus within the number of epochs used (if no loss is logged, then add logging to check this).","The test case requires that training loss generally decreases during training and plateaus within the number of epochs used, with an explicit instruction that if no loss is logged, logging should be added. The repository contains a Kaggle notebook that uses sklearn classifiers (LogisticRegression, DecisionTree, RandomForest, XGBoost) trained via single-shot .fit() calls with no epochs, no iterative training loops, no loss function tracking, and no loss logging whatsoever. There are no epoch counters, no history objects, no loss curves, and no mechanism to check training loss behavior. The deep learning libraries (torch, torchvision) are imported but never used. The test explicitly says ""if no loss is logged, then add logging to check this"" - the repository does not add any such logging mechanism. Therefore, the property cannot be verified as the required loss logging and epoch-based training infrastructure is absent.",titanic,0,alaapdhall,FAIL,0.85,0.85,"[/kaggle/repo/most-comprehensive-guide-to-a-ds-framework/most-comprehensive-guide-to-a-ds-framework.ipynb: All code cells] - The notebook uses sklearn classifiers with .fit() calls (cells 71, 73, 74, 75, 80, 81, 82) but has no iterative training, no epochs, no loss tracking, and no loss logging. The only metrics recorded are accuracy/scores via .score() and cross_val_score (cells 71, 73, 74, 75, 80, 81, 83). The torch/torchvision imports (cell 2) are unused. Cell 82 contains a commented-out GradientBoosting section but no loss logging mechanism.",results\kaggle_titanic_AT-Qwen-Qwen3.6-35B-A3B-FP8-static_examples0.jsonl,2,10
,Accuracy should be deterministic (same value) when running the model evaluation multiple times without retraining.,"The repository's Jupyter notebook lacks any mechanism to ensure deterministic (reproducible) accuracy when running model evaluation multiple times without retraining. Specifically: (1) `train_test_split` is called without a `random_state` parameter at cells 69 and 70 of the notebook, meaning each run produces a different random split of training/test data, leading to different accuracy values. (2) Multiple classifiers (RandomForest, DecisionTree, GradientBoosting, XGBoost) are instantiated without setting `random_state`, meaning their internal randomization produces different results across runs. (3) GridSearchCV is used without `random_state`, adding further non-determinism. (4) The `random` Python module is used (cell 35) with `random.randint(0,1)` for random column dropping during correlation analysis, which is not seeded. (5) No `np.random.seed()` or `torch.manual_seed()` calls exist anywhere in the notebook. Without seeding any randomness, the evaluation pipeline will produce different accuracy values on repeated runs, directly violating the determinism requirement.",titanic,0,alaapdhall,FAIL,0.95,0.95,"[/kaggle/repo/most-comprehensive-guide-to-a-ds-framework/most-comprehensive-guide-to-a-ds-framework.ipynb:69] - `X_train, X_test, y_train, y_test = train_test_split(X_final, target, test_size=0.10)` called without `random_state`. [/kaggle/repo/most-comprehensive-guide-to-a-ds-framework/most-comprehensive-guide-to-a-ds-framework.ipynb:70] - `X_train_feat, X_test_feat, y_train_feat, y_test_feat = train_test_split(X_final_feat, target, test_size=0.10)` called without `random_state`. [/kaggle/repo/most-comprehensive-guide-to-a-ds-framework/most-comprehensive-guide-to-a-ds-framework.ipynb:71-75] - `LogisticRegression()` and `DecisionTreeClassifier()` instantiated without `random_state` parameter. [/kaggle/repo/most-comprehensive-guide-to-a-ds-framework/most-comprehensive-guide-to-a-ds-framework.ipynb:80] - Multiple classifiers iterated and evaluated without any random seed being set. [/kaggle/repo/most-comprehensive-guide-to-a-ds-framework/most-comprehensive-guide-to-a-ds-framework.ipynb:82] - `GridSearchCV(LogisticRegression())`, `GridSearchCV(XGBClassifier())`, `GridSearchCV(RandomForestClassifier())` all without `random_state` parameters. [/kaggle/repo/most-comprehensive-guide-to-a-ds-framework/most-comprehensive-guide-to-a-ds-framework.ipynb:35] - `random.randint(0,1)` used in correlation analysis without seeding the random module. [/kaggle/repo/most-comprehensive-guide-to-a-ds-framework/most-comprehensive-guide-to-a-ds-framework.ipynb:1-85] - Exhaustive search confirms no `random_state`, `set_seed`, `seed`, `np.random.seed`, or `torch.manual_seed` anywhere in the notebook.",results\kaggle_titanic_AT-Qwen-Qwen3.6-35B-A3B-FP8-static_examples0.jsonl,2,12
,"Code does not use explicit loops or Python control flow when matrix operations could have been used to implement the exact same operation more efficiently. If this property is not satisfied, show the matrix operations which should replace the raw Python logic.","The repository contains a `find_pearson_cor` function in the notebook that uses explicit nested Python loops to compute pairwise Pearson correlations column by column, when a single matrix operation `df[cont_cols].corr(method='pearson')` would compute the identical correlation matrix using vectorized numpy operations. The code even acknowledges `df.corr(method='pearson')` as an alternative but chooses the loop-based approach. Additionally, the `get_continous` function (used by both `find_pearson_cor` and `detect_outliers`) iterates over each column attempting to convert to int using `list(map(int, df[col]))` instead of using vectorized `df.astype(int)` or `pd.to_numeric`. These loops could be replaced with matrix operations that would implement the exact same operations more efficiently.",titanic,0,alaapdhall,FAIL,0.72,0.75,"- [/kaggle/repo/most-comprehensive-guide-to-a-ds-framework/most-comprehensive-guide-to-a-ds-framework.ipynb:35] Cell 35 contains `find_pearson_cor` function with nested loops: `for idx,i in enumerate(cont_cols): for j in cont_cols[idx+1:]` that calls `scipy.stats.pearsonr(df[i],df[j])` for each pair individually. This could be replaced by `df[cont_cols].corr(method='pearson')` which computes the full correlation matrix using matrix operations. The code comments explicitly acknowledge `df.corr(method='pearson')` as an alternative.
- [/kaggle/repo/most-comprehensive-guide-to-a-ds-framework/most-comprehensive-guide-to-a-ds-framework.ipynb:35] The `get_continous` function uses `list(map(int, df[col]))` in a for loop iterating over columns, which could be replaced with vectorized `df[col].astype(int)` or `pd.to_numeric(df[col])`.
- [/kaggle/repo/most-comprehensive-guide-to-a-ds-framework/most-comprehensive-guide-to-a-ds-framework.ipynb:38] Cell 38 contains `detect_outliers` with a loop over columns calling `.quantile()` individually. While each column's internal computation is vectorized, the loop over columns could be replaced with `np.percentile(df[cont_cols].values, [20, 80], axis=0)` computing all quantiles simultaneously.",results\kaggle_titanic_AT-Qwen-Qwen3.6-35B-A3B-FP8-static_examples0.jsonl,2,15
,"Data is loaded and preprocessed correctly (e.g., no all-black images, no text with weird or unexpected characters, tables look correct and feature values are reasonable).","The notebook has multiple critical data loading and preprocessing errors that prevent the code from executing correctly:

1. **Undefined variables `train_df` and `test_df_kaggle`**: The main preprocessing pipeline in cell 11 and submission code in cell 16 reference `train_df` and `test_df_kaggle` which are never defined anywhere in the notebook. Data is loaded as `train_dataset` and `test_dataset` in cell 5, creating a variable name mismatch that causes NameError.

2. **Missing sklearn imports**: Cell 11 uses `Pipeline`, `SimpleImputer`, `StandardScaler`, `OneHotEncoder`, and `ColumnTransformer` from sklearn, but none of these are imported. Cell 1 only imports `train_test_split` from sklearn, leaving all other needed sklearn modules missing.

3. **Inconsistent train/test preprocessing (cells 7-10)**: When the earlier preprocessing path is followed, the train and test datasets have completely different column structures - train gets Title extraction, FamilySize creation, CabinLetter extraction, and one-hot encoding, while test only gets basic column dropping, age filling, and sex mapping. This mismatch would cause incorrect or failed model predictions.

4. **Test dataset drops Fare but doesn't handle it consistently** with how training data is prepared in the later pipeline.",titanic,0,anhuinn,FAIL,0.9,0.85,"[/kaggle/repo/ann-pytorch-titanic/ann-pytorch-titanic.ipynb:5] (Data loaded as train_dataset and test_dataset, not train_df and test_df_kaggle)
[/kaggle/repo/ann-pytorch-titanic/ann-pytorch-titanic.ipynb:11] (References undefined variables train_df and test_df_kaggle; uses unimported sklearn modules Pipeline, SimpleImputer, StandardScaler, OneHotEncoder, ColumnTransformer)
[/kaggle/repo/ann-pytorch-titanic/ann-pytorch-titanic.ipynb:16] (References undefined variable test_df_kaggle)
[/kaggle/repo/ann-pytorch-titanic/ann-pytorch-titanic.ipynb:7] (Train preprocessing: Title extraction, FamilySize, CabinLetter, one-hot encoding)
[/kaggle/repo/ann-pytorch-titanic/ann-pytorch-titanic.ipynb:8] (Test preprocessing: drops SibSp/Parch, doesn't create FamilySize, no one-hot encoding - inconsistent with train)",results\kaggle_titanic_AT-Qwen-Qwen3.6-35B-A3B-FP8-static_examples0.jsonl,3,2
,Randomizing the labels results in accuracy dropping to be near a random guessing baseline (may not be 0.5 if the data is imbalanced) on a validation set.,"The test case requires that the notebook demonstrates that randomizing (shuffling/permuting) the labels results in accuracy dropping to near a random guessing baseline on a validation set. This is a standard sanity check to verify that a model is actually learning from its labels rather than making trivial predictions. After thoroughly examining the entire notebook (all 18 cells, including all code and no markdown), there is zero evidence of any label randomization, noise injection, permutation, or sanity check being performed. The notebook trains a PyTorch neural network on the Titanic dataset with real labels (y_train_tensor, y_val_tensor), performs training for 1600 epochs, and evaluates validation accuracy with the original, unshuffled labels. No randomized-label baseline experiment exists anywhere in the code. Therefore, the property is clearly violated.",titanic,0,anhuinn,FAIL,0.95,0.95,"[/kaggle/repo/ann-pytorch-titanic/ann-pytorch-titanic.ipynb] - Full notebook analysis. Cell 11 (lines splitting data): uses `train_test_split(X_processed_full, y_full.values, test_size=0.2, random_state=42)` — only `random_state` is for data splitting, not label randomization. Cell 15 (training and evaluation): trains model with `y_train_tensor` and evaluates with `y_val_tensor` — both are original, unshuffled labels. No cell anywhere in the notebook (Cells 0-17) contains any code that shuffles, permutes, randomizes, or adds noise to the labels (y_train or y_val) before or during training. There is no validation accuracy reported for a randomized-label model, and no baseline comparison is performed.",results\kaggle_titanic_AT-Qwen-Qwen3.6-35B-A3B-FP8-static_examples0.jsonl,3,7
