count,property
3,"Reported metrics use the correct split(s) and the exact definitions claimed (e.g., micro vs macro, top-k)."
3,"If there is any model training, then all model parameters are updated during training (no frozen layers unless explicitly intended)."
2,"Code does not use explicit loops or Python control flow when matrix operations could have been used to implement the exact same operation more efficiently. If this property is not satisfied, show the matrix operations which should replace the raw Python logic."
2,Accuracy should be deterministic (same value) when running the model evaluation multiple times without retraining.
2,"Data is loaded and preprocessed correctly (e.g., no all-black images, no text with weird or unexpected characters, tables look correct and feature values are reasonable)."
2,Randomizing the labels results in accuracy dropping to be near a random guessing baseline (may not be 0.5 if the data is imbalanced) on a validation set.
2,"The model after the full training procedure outperforms a simple baseline (e.g., random or majority class) on an evaluation set."
2,Training dataloader shuffles or training dataset is shuffled for training; val/test do not shuffle.
1,Any data augmentation is only performed on the training dataset; val/test dataset use deterministic preprocessing.
1,"Model and inputs are consistently moved to one device; no implicit CPU<->GPU transfers; dtype policy (e.g., fp32/bf16) is applied consistently."
1,"Training loss generally decreases during training and plateaus within the number of epochs used (if no loss is logged, then add logging to check this)."
1,Any class-imbalance handling (weighted loss / sampler) applies only to training data.
1,"No leakage from test to train/val sets. If there is any model selection or hyperparameter tuning, then it uses val only."
1,The model can overfit a single (or tiny) batch to near-zero loss.
