reaudit_id,dataset,repo,test_short,test_prompt,original_label,still_agree,corrected_label,reason,confidence,agreement_rule_note
1,titanic,xxxzedmy,randomized_label_sanity,Randomizing the labels results in accuracy dropping to be near a random guessing baseline (may not be 0.5 if the data is imbalanced) on a validation set.,Incorrect,No,Inconclusive,"This criterion is about whether the property holds (it’s a sanity check), not whether the notebook explicitly ran the experiment; lack of that experiment should be Inconclusive, not a FAIL.",,"Required evidence for the claimed failure is missing or not present, so the audited failing test is inconclusive rather than a fail."
2,nlp,julyju,no_avoidable_loops,"Code does not use explicit loops or Python control flow when matrix operations could have been used to implement the exact same operation more efficiently. If this property is not satisfied, show the matrix operations which should replace the raw Python logic.",Correct,Yes,Fail,"Per-example tokenization/stacking loops are present and can be replaced with a single batched tokenizer call returning tensors (return_tensors='pt'), so failing this efficiency criterion is justified.",,"Concrete evidence supports the failing test case, so the audited failing test remains a valid fail."
3,titanic,gautamgc75,no_avoidable_loops,"Code does not use explicit loops or Python control flow when matrix operations could have been used to implement the exact same operation more efficiently. If this property is not satisfied, show the matrix operations which should replace the raw Python logic.",Correct,Yes,Fail,They call model(X[i]) in Python loops over individual samples; this is exactly replaceable with a single batched forward pass model(X) and vectorized thresholding.,,"Concrete evidence supports the failing test case, so the audited failing test remains a valid fail."
4,diabetic,makerlin,tiny_batch_overfit,The model can overfit a single (or tiny) batch to near-zero loss.,Correct,No,Inconclusive,"There is no training loop (optimizer/loss/backward/step) in the repo, so it cannot demonstrate tiny-batch overfitting.",,"Required evidence for the claimed failure is missing or not present, so the audited failing test is inconclusive rather than a fail."
5,nlp,kormishin,randomized_label_sanity,Randomizing the labels results in accuracy dropping to be near a random guessing baseline (may not be 0.5 if the data is imbalanced) on a validation set.,Correct,No,Inconclusive,A repo that never runs (or logs) a label-randomization ablation can’t satisfy this test,,"Required evidence for the claimed failure is missing or not present, so the audited failing test is inconclusive rather than a fail."
6,titanic,yassineramdani,parameter_updates,"If there is any model training, then all model parameters are updated during training (no frozen layers unless explicitly intended).",Correct,Yes,Fail,"fc1 is created inside forward after the optimizer is constructed, so its parameters aren’t in the optimizer and won’t be updated.",,"Concrete evidence supports the failing test case, so the audited failing test remains a valid fail."
7,nlp,gnuuuuu,randomized_label_sanity,Randomizing the labels results in accuracy dropping to be near a random guessing baseline (may not be 0.5 if the data is imbalanced) on a validation set.,Correct,No,Inconclusive,there’s no label-randomization experiment implemented anywhere.,,"Required evidence for the claimed failure is missing or not present, so the audited failing test is inconclusive rather than a fail."
8,titanic,dng2nguyn2k7,no_train_test_leakage,"No leakage from test to train/val sets. If there is any model selection or hyperparameter tuning, then it uses val only.",Correct,Yes,Fail,"They pick “best_model.pth” based on a metric computed on the training set (train_data_loader_1 from car_train_set), so model selection is using train instead of a held-out val split, which violates the criterion.",,"Concrete evidence supports the failing test case, so the audited failing test remains a valid fail."
9,titanic,wenzhechen,outperforms_baseline,"The model after the full training procedure outperforms a simple baseline (e.g., random or majority class) on an evaluation set.",Incorrect,No,Inconclusive,No baseline comparison → Inconclusive.,,"Required evidence for the claimed failure is missing or not present, so the audited failing test is inconclusive rather than a fail."
10,nlp,saeedkhan01,correct_data_loading,"Data is loaded and preprocessed correctly (e.g., no all-black images, no text with weird or unexpected characters, tables look correct and feature values are reasonable).",Incorrect,No,Inconclusive,"“No emoji/URL/non-ASCII cleaning” isn’t required for “loaded/preprocessed correctly,” and without actually inspecting the CSV contents you can’t fail this purely from the absence of extra cleaning.",,"Required evidence for the claimed failure is missing or not present, so the audited failing test is inconclusive rather than a fail."
